id,title,As a,I need,So that
"user-need-1","Manage all my organisation's claims","submitter","to be able to manage all my organisation's claims","I don't spend more time than I need to making and managing claims (and can focus on other tasks)."
"user-need-1.1","","submitter","to check the statuses of my claims","I can monitor the progress of my claims."
"user-need-1.2","","submitter","to know when payment will be received","I can plan my finances accordingly."
"user-need-1.3","","submitter","to be notified if an issue arises with any of our claims","I can address the issue promptly."
"user-need-1.4","","submitter","to identify and select the correct courses","I can quickly start a claim."
"user-need-2","Save my progress","submitter","to be able to save my progress","I can return to it later (for example when I have proof of completion)."
"user-need-2.1","","submitter","to find a claim I've already started","I can continue working on it without starting from scratch."
"user-need-2.2","","submitter","to save the claim I'm working on even if I haven't finished inputting information","I can avoid losing my progress."
"user-need-2.3","","submitter","to see when a claim was started and/or last updated","I can track the claim's timeline."
"user-need-2.4","","submitter","to quickly identify what remains to be done in a partially completed claim","I can complete the claim efficiently."
"user-need-3","Upload claim evidence","submitter","to easily upload claim evidence without the need to duplicate/resubmit","I don't waste time and can focus on my most important duties."
"user-need-3.1","","submitter","to know precisely what evidence is required","I can prepare and upload the correct documentation."
"user-need-3.2","","submitter","to provide necessary documentation to support my claim","I can enable effective processing without needing to query evidence."
"user-need-3.3","","submitter","to see what evidence has already been added to a claim","I can avoid duplication, double check its contents and ensure all required information is included."
"user-need-4","Understand rejected claims","submitter","to understand why a claim I made has been rejected","I can deal with it appropriately."
"user-need-4.1","","submitter","to know the reason that my claim has been rejected","I can ensure I am addressing the correct rejection issue."
"user-need-4.2","","submitter","to be able to see the rejected claim","I can compare what I submitted against the rejection reasons."
"user-need-5","Clear guidance","ASC provider","clear guidance","I can understand who/what is eligible, what to submit and when, and know when I will receive reimbursement."
"user-need-5.1","","provider","to know which courses are eligible","I can ensure we only apply for reimbursement for eligible courses."
"user-need-5.2","","provider","to know how much we can get reimbursed for each course we send our staff on","I can budget accordingly."
"user-need-6","Claim flexibility","ASC provider","flexibility in who can start, edit, or submit a claim for my organisation","we don't become stuck if somebody needs to work on a claim that they didn't start."
"user-need-6.1","","provider","colleagues to be able to pick up where others have left off","myself and colleagues can collaborate on making claims."
"user-need-6.2","","provider","colleagues to be able to submit claims that somebody else has previously worked on","I can avoid duplicating effort and ensure smooth transitions."
"user-need-6.3","","provider","to have multiple users within our organisation","I can manage claims collaboratively."
"user-need-6.4","","provider","to see who started a claim","I can contact the appropriate person for more information if needed."
"user-need-7","Manage budget","ASC provider","to see what we've already claimed for and how much budget we have left","we can claim all the money that we are eligible for."
"user-need-7.1","","provider","to see how much our organisation has been reimbursed (or applied for reimbursement) this FY and/or the remaining budget","I can track our financials accurately and anticipate potential reimbursement."
"user-need-8","See expected payments","ASC provider","see when we can expect to be paid","I am able to manage my budget effectively."
"user-need-8.1","","provider","to see when we can expect to be paid","I am able to manage my budget effectively."
"user-need-8.2","","provider","to have notice of the payment date","I can look out for the payment into my account and know if it hasn't been received."
"user-need-8.3","","provider","know which claim the payment relates to","I know whether I have any outstanding claims to be paid."
"user-need-9","Uniquely identify learners","large ASC provider","a way to uniquely identify learners in the service when I may not have unique identifiers myself (e.g. no HR system)","I don't claim for the wrong learner (e.g., two people with the same name)."
"user-need-9.1","","provider","to uniquely identify learners in the service","I don't claim for the wrong learner (e.g., two people with the same name)."
"user-need-9.2","","provider","to view info about the learner in addition to their unique identifier","I can double check that I am claiming for the right person."
"user-need-10","Registering for the service","ASC provider","to be able to register to use the service","we can be set up correctly to start claiming the funding we are eligible for."
"user-need-10.1","","provider","to quickly identify our senior responsible officer (SRO)","we can start claiming and receiving funding as soon as possible."
"user-need-10.2","","provider","to know how the Grant Determination Letter (GDL) should be signed and submitted to BSA","this can be reviewed by the right people who administer the fund."
"user-need-10.3","","provider","to share our organisation’s bank details","we can receive payment for successful claims to the correct account."
"user-need-10.4","","provider","to know the eligibility criteria for organisations to join the scheme","I can check we have everything in place before we sign up."
"user-need-11","Clear evidence requirements","claim processor","evidence requirements to be clear,","I can judge whether each piece of evidence is acceptable."
"user-need-11.1","","processor","evidence requirements to be clear","I can judge whether each piece of evidence is acceptable."
"user-need-11.1","","processor","to know which piece of evidence the requirement relates to","I can apply the requirements to the right piece of evidence."
"user-need-11.1","","processor","to know where the evidence requirements are listed","I can easily find them when needed."
"user-need-11.1","","processor","to easily apply the evidence requirements to the types of evidence provided","I can process claims quickly and in accordance with the Service Level Agreements."
"user-need-12","Understand previous claim decisions","claim processor","to know what decisions / actions have previously been made for a claim (either by myself or colleagues)","I can make the most appropriate decision when processing a claim"
"user-need-12.1","","processor","to know what decisions/actions have previously been made for a claim","I can make the most appropriate decision when processing a claim."
"user-need-12.2","","processor","see who has taken a decision or action for a claim","I can ask them if I need further clarification on the decision."
"user-need-12.3","","processor","decisions and actions to be date-stamped","I can see the order in which decisions and actions have been made."
"user-need-12.4","","processor","to know the rationale behind decisions and actions made","I can understand why their decisions and actions were made."
"user-need-12.5","","processor","document my own decisions and actions","future claim processors can understand my reasons for making the decisions and actions."
"user-need-13","View organisation information","contact centre agent","to see information about an organisation,","I can respond to the queries we get"
"user-need-13.1","","contact centre agent","to know what the status is on a claim, including details on any action taken on any claims","I can answer any queries about the claims."
"user-need-13.2","","contact centre agent","to be able to see all the necessary organisation’s details to complete ID/CV","I can ensure I am only sharing information with the right people."
"user-need-13.3","","contact centre agent","to be able to quickly log notes centrally after a call","we have an audit trail of queries and actions and me and my colleagues can quickly find the information later."
"user-need-14","Supporting organisations with registration","onboarder","to be able to register an organisation","that they can make claims using the service."
"user-need-14.1","","onboarder","to be able to identify eligible organisations who are interested in registering for the scheme","I can contact them to arrange onboarding."
"user-need-14.2","","onboarder","to be able to confirm an organisation is eligible for the scheme","I can ensure only eligible organisations are registered to use the service."
"user-need-14.3","","onboarder","to be able to guide the signatory through the registration process","I can ensure it is successfully completed."
"user-need-14.4","","onboarder","to be able to verify the bank details that have been provided by the organisation","I can ensure they are legitimately linked with the organisation, to prevent fraud ."
"user-need-14.5","","onboarder","to be able to edit and re-send an invite to an SRO","I can deal with situations where the invite is not received by the correct person."
